symbol,close,med_turnover_cr,days
AXISCADES,1717.7,26.262147,20
PRECWIRE,440.05,26.017414549999998,20
GOLD1,124.66,25.980047440999996,20
JSFB,488.65,25.968160345,20
GOLDCASE,23.51,25.8011320555,20
FRACTAL,748.1,25.53027919,20
NCC,137.33,25.246016487,20
KENNAMET,4266.4,25.24236854,20
LEMONTREE,102.58,25.220054615000002,20
UNIMECH,1538.5,25.118483665,20
FIVESTAR,541.95,25.09282828,20
MANINFRA,124.83,24.976706595000003,20
BAJAJHFL,84.0,24.9515976715,20
SILVERCASE,22.74,24.887631846,20
THELEELA,522.45,24.87659203,20
ZAGGLE,179.41,24.703237178000002,20
MAHSEAMLES,701.1,24.56146097,20
APTUS,244.83,24.4325725215,20
GLAXO,2818.9,24.311816359999998,20
SHYAMMETL,1050.5,24.241387195,20
MSTCLTD,701.2,24.1429772575,20
ARDEE,47.78,23.869345690000003,20
KPIGREEN,277.15,23.861877389999997,20
SENORES,1416.1,23.808556335,20
GRWRHITECH,6603.5,23.706110025,20
BRIGADE,612.25,23.686015555,20
KPRMILL,1120.2,23.683566795,20
PRICOLLTD,740.75,23.641790907500003,20
ITBEES,32.87,23.621953089499996,20
ROLEXRINGS,166.47,23.6000704555,20
LTFOODS,421.05,23.4685082325,20
SWANCORP,292.6,23.4489190725,20
RAYMONDREL,584.0,23.4470297175,20
LUMAXTECH,1991.3,23.224796165,20
GMMPFAUDLR,1348.0,23.2128362125,20
AFFLE,1536.4,23.075184155000002,20
SENCO,336.4,23.053277065,20
EMCURE,1993.0,23.04776717,20
INDSWFTLAB,378.75,22.89732744,20
TBOTEK,1656.1,22.64643468,20
CESC,141.7,22.6188291885,20
LCL,535.5,22.614727180000003,20
CHOICEIN,740.4,22.520516202499998,20
AJANTPHARM,3510.4,22.482108760000003,20
SILVER,224.06,22.4446361,20
TEXRAIL,110.71,22.3852008295,20
CEIGALL,382.25,22.378632735,20
BLS,228.51,22.37507385,20
SETFNIF50,250.09,22.245559073,20
JNPR,264.5,22.174667407500003,20
CLEAN,820.3,22.15454574,20
HDFCSML250,180.83,22.148794760999998,20
VARROC,836.0,22.060330970000003,20
GOLDETF,145.49,22.057772509000003,20
VENUSPIPES,1941.6,21.84854009,20
CASTROLIND,187.82,21.778313675499998,20
IBULLSLTD,27.44,21.773364227500004,20
TANLA,490.55,21.715867207499997,20
ATLANTAELE,1660.0,21.57970968,20
LASERPOWER,271.9,21.5681189425,20
GRAVITA,1639.0,21.544138265,20
GAJA,142.55,21.38281911,15
TRITURBINE,546.9,21.344718219999997,20
RPEL,1622.4,21.24979903,20
ITCHOTELS,152.22,21.2388166935,20
INOXGREEN,173.22,21.142859627500002,20
ARIS,120.63,21.092040697,20
PFOCUS,319.0,21.085048905,20
INDGN,571.5,21.030950245,20
EXICOM,168.43,21.022772763000003,20
ABSLAMC,1037.9,20.850147090000004,20
J&KBANK,144.75,20.785517718,20
GENESYS,285.51,20.77272673,20
GODREJAGRO,645.3,20.7543084,20
GANDHAR,260.45,20.746606295,20
KMEW,2730.5,20.6717965,20
HUDCO,168.92,20.619365967,20
TIMEX,605.65,20.612160557499998,20
TRIVENI,246.45,20.5367736285,20
SUVEN,333.45,20.460716322499998,20
KSHINTL,1058.85,20.44641865,20
SAMBHV,128.96,20.41198592,20
CHAMBLFERT,416.65,20.3790890275,20
JUBLPHARMA,1011.95,20.3037710525,20
VINDHYATEL,2617.7,20.251263155,20
BLACKBUCK,611.9,20.211771,20
ABBOTINDIA,26125.0,20.074782,20
KNRCON,121.22,20.035942109,20
RATNAMANI,2691.4,20.03032529,20
RAMCOCEM,859.55,19.9586260825,20
HERITGFOOD,393.85,19.92812231,20
JGCHEM,564.65,19.837760144999997,20
AEGISVOPAK,302.0,19.8210420375,20
UNIVCABLES,1417.3,19.813045005,20
FSL,283.35,19.79428761,20
NSLNISP,41.45,19.748272399999998,20
APOLLOTYRE,406.2,19.67335859,20
SCHAEFFLER,3916.4,19.64725454,20
V2RETAIL,212.12,19.595928368000003,20
MOIL,238.54,19.5823558935,20
SAREGAMA,485.5,19.457992187499997,20
WSTCSTPAPR,713.3,19.39972778,20
DWARKESH,41.72,19.337980014,20
AMAGI,569.4,19.3185221625,20
BLUEJET,550.65,19.30080187,20
AVANTIFEED,771.95,19.2994299,20
OMAXE,118.04,19.2306699305,20
MANALIPETC,80.19,19.145537991,20
ONESOURCE,1599.6,18.99445762,20
MANYAVAR,566.65,18.965654530000002,20
AGIIL,264.15,18.9150824,20
COROMANDEL,1939.1,18.896065200000002,20
JSLL,500.25,18.870892849999997,20
SGMART,722.1,18.819885954999997,20
ATUL,6081.5,18.795933325,20
SHANTIGEAR,679.25,18.780542755000003,20
ROSSTECH,1265.4,18.74229729,20
PRIVISCL,3452.2,18.712197855,20
IDEAFORGE,704.25,18.6691587,20
IKS,1783.0,18.64608149,20
KPIL,1380.2,18.617013375,20
IXIGO,161.02,18.521654663,20
POCL,435.3,18.285024615,20
CARBORUNIV,1031.8,18.24965288,20
SARDAEN,501.35,18.177519755,20
ASHAPURMIN,518.4,18.170654065,20
WHIRLPOOL,751.95,18.145381862500003,20
ZFCVINDIA,2511.5,18.07529474,20
CONCORDBIO,1473.0,18.023975104999998,20
INTELLECT,662.85,17.97285951,20
BBOX,745.8,17.93829964,20
MGL,1071.7,17.93624201,20
RISHABH,779.5,17.9329885,20
RELIGARE,247.55,17.922716404499997,20
BORORENEW,461.3,17.908052635,20
CORDSCABLE,354.25,17.899824675,12
CANFINHOME,784.8,17.865651794999998,20
PVP,61.58,17.843518532,20
SILVER1,21.78,17.746646855,20
CSBBANK,296.35,17.719983659999997,20
AFCONS,262.25,17.703651065,20
POLYMED,1704.6,17.624165284999997,20
ABFRL,49.02,17.543323314,20
SOTL,688.3,17.53840466,20
FIRSTCRY,171.53,17.510873248499998,20
LTTS,3312.2,17.40920988,20
ACI,455.25,17.404605734999997,20
AYE,177.25,17.331005035,20
PRAJIND,318.0,17.291031562500002,20
KABRAEXTRU,650.85,17.23849175,20
LLOYDSENT,67.64,17.210982496,20
SUPRIYA,874.95,17.200236795000002,20
MASTEK,1652.1,16.998264225,20
RAYMONDLSL,672.65,16.9894496075,20
NELCO,924.3,16.7722741925,20
SYNGENE,378.85,16.75962322,20
SHAKTIPUMP,474.2,16.734187634999998,20
ELLEN,355.1,16.715587364999998,20
THYROCARE,544.45,16.702326485,20
ABREL,1232.5,16.68883915,20
DEEDEV,607.4,16.6604312025,20
BEPL,120.69,16.639923818,20
APOLLOPIPE,520.2,16.55438087,20
ABDL,631.6,16.53656249,20
CCL,1060.9,16.5251389,20
SUNDRMFAST,1237.3,16.2564541325,20
GNA,532.6,16.19539614,20
YASHO,3883.4,16.12132932,20
SEAMECLTD,1736.9,16.058784385,20
MON100,330.62,15.9869856625,20
